"","issn_merge","year","rank","sourceid","title","type","issn","sjr","sjr_best_quartile","h_index","total_docs_year","total_docs_3years","total_refs","total_cites_3years","citable_docs_3years","cites_doc_2years","ref_doc","country","region","publisher","coverage","categories","areas","issn_short","Journal","Issn","Eissn","Description","Publisher","Societies","Author.guideline.url","Data.citation.score","Data.citation.justification","Data.transparency.score","Data.transparency.justification","Analysis.code.transparency.score","Analysis.code.transparency.justification","Materials.transparency.score","Materials.transparency.justification","Design...analysis.reporting.guidelines.score","Design...analysis.reporting.guidelines.justification","Study.preregistration.score","Study.preregistration.justification","Analysis.plan.preregistration.score","Analysis.plan.preregistration.justification","Replication.score","Replication.justification","Registered.reports...publication.bias.score","Registered.reports...publication.bias.justification","Open.science.badges.score","Open.science.badges.justification","top_factor"
"250","00028177","2023",9435,23804,"Journal of the American Dental Association","journal","00028177, 19434723",0.572,"Q2",135,207,649,4545,966,432,1.78,21.96,"United States","Northern America","American Dental Association","1946-2023","Dentistry (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)","Dentistry; Medicine","00028177","Journal of the American Dental Association","0002-8177","1943-4723","""The Journal of the American Dental Association (JADA) is the nation's premier dental journal-a reliable, peer-reviewed source of information on dentistry and dental science. Each monthly issue of JADA is available in print and online at jada.ada.org, which provides full-text articles as an added member benefit from the current issue as well as a searchable archive dating back to 1913.""","Elsevier","","https://www.elsevier.com/journals/the-journal-of-the-american-dental-association/0002-8177/guide-for-authors",1,"""JADA encourages authors to cite underlying or relevant data sets in the text and include a data reference in the reference list. "" Gives examples.",0,"No mention.",0,"No mention.",0,"No mention.",1,""" Guideline listings are available at the Equator Network website""",0,"Study preregistration required only for clinical trials.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",2
"315","00028312","2023",1121,29432,"American Educational Research Journal","journal","00028312, 19351011",2.232,"Q1",144,35,142,2674,802,141,4.99,76.4,"United States","Northern America","SAGE Publications Ltd","1978, 1982, 1986, 1996-2023","Education (Q1)","Social Sciences","00028312","American Educational Research Journal","0002-8312","1935-1011","""The American Educational Research Journal (AERJ) is the flagship journal of the American Educational Research Association, featuring articles that advance the empirical, theoretical, and methodological understanding of education and learning. It publishes original peer-reviewed analyses that span the field of education research across all subfields and disciplines and all levels of analysis. It also encourages submissions across all levels of education throughout the life span and all forms of learning. AERJ welcomes submissions of the highest quality, reflecting a wide range of perspectives, topics, contexts, and methods, including interdisciplinary and multidisciplinary work.""","SAGE","American Education Research Association (AERA)","https://journals.sagepub.com/author-instructions/AER",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1,"Journal articulates standards at this URL: http://www.aera.net/Publications/Standards-for-Research-Conduct",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"342","00029262","2023",5803,27058,"American Journal of Epidemiology","journal","00029262, 14766256",0.837,"Q2",288,240,805,9371,2876,697,3.66,39.05,"United Kingdom","Western Europe","Oxford University Press","1921-2023","Epidemiology (Q2)","Medicine","00029262","American Journal of Epidemiology","0002-9262","1476-6256","""The American Journal of Epidemiology is the oldest and one of the premier epidemiologic journals devoted to the publication of empirical research findings, opinion pieces, and methodological developments in the field of epidemiologic research.""","Oxford University Press","","https://academic.oup.com/aje/pages/Instructions_To_Authors",1,"""Database or database entry"" included in citation examples",0,"""As recommended by the International Committee for Medical Journal Editors (ICMJE), the AJE encourages authors to make their data collection instruments, as well as their data and corresponding codes, available to others as either a print or Web appendix."" Encouraged, not required.",0,"""As recommended by the International Committee for Medical Journal Editors (ICMJE), the AJE encourages authors to make their data collection instruments, as well as their data and corresponding codes, available to others as either a print or Web appendix."" Encouraged, not required.",0,"""As recommended by the International Committee for Medical Journal Editors (ICMJE), the AJE encourages authors to make their data collection instruments, as well as their data and corresponding codes, available to others as either a print or Web appendix."" Encouraged, not required.",1,"""For papers in which results of randomized trials are reported, the Journal encourages authors to follow the CONSORT guidelines. Please note that the CONSORT guidelines help to guarantee that the paper has the information necessary for the integration of the trial into meta-analyses and systematic reviews."" Encourages, only mentioned for randomized trials.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",2
"344","00029394","2023",1073,13266,"American Journal of Ophthalmology","journal","00029394, 18791891",2.296,"Q1",214,319,1243,10468,5174,1010,4.14,32.82,"United States","Northern America","Elsevier Inc.","1918-2024","Ophthalmology (Q1)","Medicine","00029394","American Journal of Ophthalmology","0002-9394","1879-1891","""The American Journal of Ophthalmology is a peer-reviewed, scientific publication that welcomes the submission of original, previously unpublished manuscripts directed to ophthalmologists and visual science specialists describing clinical investigations, clinical observations, and clinically relevant laboratory investigations. ""","Elsevier","","https://www.elsevier.com/journals/american-journal-of-ophthalmology/0002-9394/guide-for-authors",1,"Presents example of dataset citation.",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.'",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"388","00029440","2023",1907,27062,"American Journal of Pathology","journal","00029440, 15252191",1.647,"Q1",305,180,549,9670,2658,503,4.31,53.72,"United States","Northern America","Elsevier Inc.","1946-2023","Pathology and Forensic Medicine (Q1)","Medicine","00029440","The American Journal of Pathology","0002-9440","1525-2191","""The American Journal of Pathology, official journal of the American Society for Investigative Pathology, published by Elsevier, Inc., seeks high-quality original research reports, reviews, and commentaries related to the molecular and cellular basis of disease. The editors will consider basic, translational, and clinical investigations that directly address mechanisms of pathogenesis or provide a foundation for future mechanistic inquiries.""","Elsevier","American Society for Investigative Pathology","https://ajp.amjpathol.org/content/authorinfo",0,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List.""",0,"""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1,"""Reporting guidelines for specific study designs (eg, randomized controlled trials) can be found online via the Enhancing the QUAlity and Transparency Of health Research (EQUATOR) network""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",1
"393","0002953X","2023",366,17664,"American Journal of Psychiatry","journal","0002953X, 15357228",4.321,"Q1",395,136,521,1850,4161,338,7.27,13.6,"United States","Northern America","American Psychiatric Association","1945-2023","Psychiatry and Mental Health (Q1)","Medicine","0002953X","American Journal of Psychiatry","0002-953X","1535-7228","""The American Journal of Psychiatry is the most widely read psychiatric journal in the world. Published monthly, it is an indispensable journal for all psychiatrists and other mental health professionals who need to stay on the cutting edge of virtually every aspect of psychiatry. No other psychiatric journal reaches more psychiatrists with greater impact or immediacy than The American Journal of Psychiatry, the journal that the overwhelming majority of psychiatrists consider essential.""","","","https://ajp.psychiatryonline.org/ajp_ifora",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"435","00029602","2023",1075,16926,"American Journal of Sociology","journal","00029602, 15375390",2.29,"Q1",206,51,98,4612,441,95,3.49,90.43,"United States","Northern America","University of Chicago","1946-1950, 1964-2023","Sociology and Political Science (Q1)","Social Sciences","00029602","American Journal of Sociology","0002-9602","1537-5390","""Established in 1895 as the first US scholarly journal in its field, the American Journal of Sociology (AJS) presents pathbreaking work from all areas of sociology, with an emphasis on theory building and innovative methods. AJS strives to speak to the general sociology reader and is open to contributions from across the social sciencessociology, political science, economics, history, anthropology, and statisticsthat seriously engage the sociological literature to forge new ways of understanding the social.""","University of Chicago Press","","https://www.journals.uchicago.edu/journals/ajs/instruct",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"485","00030147","2023",2968,12604,"American Naturalist","journal","00030147, 15375323",1.273,"Q1",230,140,459,12123,1190,442,2.3,86.59,"United States","Northern America","University of Chicago","1946-1948, 1960-1961, 1973-1975, 1978-1979, 1981-2023","Ecology, Evolution, Behavior and Systematics (Q1)","Agricultural and Biological Sciences","00030147","The American Naturalist","0003-0147","1537-5323","""Since its inception in 1867, The American Naturalist has maintained its position as one of the worlds premier peer-reviewed publications in ecology, evolution, and behavior research.""","University of Chicago Press","","https://www.journals.uchicago.edu/journals/an/instruct",1,"""When you use a data set, be sure to cite it in your article using the DataCite DOI, and be sure the citation occurs in the Literature Cited section of your article as well as in the text.""",2,"""As a condition of publication, all data needed to recreate the results of a paper must be publicly accessible in usable format. We encourage authors to make their data and code available to reviewers upon first submission, and we require it for revisions and resubmissions""",1,"""An explanation and links to the location of your data and code repository must appear as a separate section after the Acknowledgements.""",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",0,"No mentions.",4
"486","00030147","2023",2968,12604,"American Naturalist","journal","00030147, 15375323",1.273,"Q1",230,140,459,12123,1190,442,2.3,86.59,"United States","Northern America","University of Chicago","1946-1948, 1960-1961, 1973-1975, 1978-1979, 1981-2023","Ecology, Evolution, Behavior and Systematics (Q1)","Agricultural and Biological Sciences","00030147","American Naturalist","0003-0147","1537-5323","""Since its inception in 1867, The American Naturalist has maintained its position as one of the worlds premier peer-reviewed publications in ecology, evolution, and behavior research. Its goals are to publish articles that are of broad interest to the readership, pose new and significant problems, introduce novel subjects, develop conceptual unification, and change the way people think. The American Naturalist emphasizes sophisticated methodologies and innovative theoretical syntheses  all in an effort to advance the knowledge of organic evolution and other broad biological principles.""","University of Chicago Press","","https://www.journals.uchicago.edu/journals/an/instruct",2,"""When you use a data set, be sure to cite it in your article using the DataCite DOI, and be sure the citation occurs in the Literature Cited section of your article as well as in the text.""",2,"""As a condition of publication, all data needed to recreate the results of a paper must be publicly accessible in usable format.""",0,"""We encourage submission of code (e.g., for simulations or data analysis) or Mathematica notebooks, to detail all analytical steps for reproducibility.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",4
"512","0003066X","2023",539,29492,"American Psychologist","journal","0003066X, 1935990X",3.357,"Q1",268,129,464,6486,4603,454,8.75,50.28,"United States","Northern America","American Psychological Association","1946-1954, 1965-2023","Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)","Medicine; Psychology","0003066X","American Psychologist","0003-066X","1935-990X","""American Psychologist , established in 1946, is the flagship peer-reviewed scholarly journal of the American Psychological Association. As such, American Psychologist publishes current and timely high-impact papers of broad interest. These papers include empirical reports, meta-analyses, and other types of scholarly reviews. Topics cover psychological science, practice, education, and policy. Contributions often address issues of national and international significance, both with regard to the profession of psychology and its relationship to society at large. Published articles are written in a style that is accessible to all psychologists and the public.""","American Psychological Association","American Psychological Association","https://www.apa.org/pubs/journals/amp/index?tab=4",2,"""Article must provide citations for data, materials, and code/software developed by other teams.""",1,"""Article states whether the raw and/or processed data upon which study conclusions are based is available.""",2,"""Article states whether computer code or syntax needed to reproduce analyses in an article is available. If so, authors share materials on submission or indicate a legal or ethical reason not to do so (to be approved by the editor).""",2,"""Article states whether commonly materials described in the methods section of a paper (e.g., stimuli, questionnaires/inventories) are available. If so, authors share materials on submission or indicate a legal or ethical reason not to do so (to be approved by the editor).""",2,"""Article must comply with APAs JARS-Quant, JARS-Qual, and MARS.""",2,"""Article states whether a time stamped, accessible, read-only documentation of study design and (if applicable) hypotheses is available. If so, authors make preregistrations available on submission.""",2,"""Article states whether a time stamped, accessible, read-only documentation of study analysis plan is available. If so, authors make preregistration analysis plan available on submission.""",1,"""To promote replication of empirical research, AP will consider manuscripts reporting on replications of empirical studies previously published in AP , subject to standard peer review.""",0,"No mention.",2,"""Articles are eligible for open science badges recognizing publicly available data, materials, and/or preregistered plans and analyses. These badges are awarded on a self-disclosure basis.""",16
"530","00031224","2023",374,16929,"American Sociological Review","journal","00031224, 19398271",4.295,"Q1",230,38,122,4361,1094,116,7.21,114.76,"United States","Northern America","American Sociological Association","1965-2023","Sociology and Political Science (Q1)","Social Sciences","00031224","American Sociological Review","0003-1224","1939-8271","""American Sociological Review (ASR), the ASA's flagship journal, was founded in 1936 with the mission to publish original works of interest to the discipline of sociology in general, new theoretical developments, results of research that advance understanding of fundamental social processes, and important methodological innovations.""","SAGE","","https://us.sagepub.com/en-us/nam/manuscript-submission-guidelines",0,"No mention.",0,"""We support and encourage research data to be shared, discoverable, citable and recognised as an intellectual product of value.""",0,"No mention.",0,"Submission of supplementary material is optional.",1,"""The relevant EQUATOR Network reporting guidelines should be followed depending on the type of study.""",0,"No mention.",0,"No mention.",0,"No mention,",0,"No mention.",0,"No mention.",1
"560","00031305","2023",7805,13631,"American Statistician","journal","00031305, 15372731",0.675,"Q1",97,71,159,2229,297,135,1.93,31.39,"United Kingdom","Western Europe","Taylor and Francis Ltd.","1947-2023","Mathematics (miscellaneous) (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)","Decision Sciences; Mathematics","00031305","The American Statistician","0003-1305","1537-2731","","Taylor & Francis","","https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=utas20",0,"No mention.",0,"The ASA strongly encourages authors to submit datasets, code, other programs, and/or extended appendices that are directly relevant to their submitted articles.",0,"The ASA strongly encourages authors to submit datasets, code, other programs, and/or extended appendices that are directly relevant to their submitted articles.",0,"The ASA strongly encourages authors to submit datasets, code, other programs, and/or extended appendices that are directly relevant to their submitted articles.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"579","00033472","2023",5061,24580,"Animal Behaviour","journal","00033472, 10958282",0.924,"Q1",189,183,710,13778,1640,694,2.19,75.29,"United States","Northern America","Academic Press","1958-2023","Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)","Agricultural and Biological Sciences","00033472","Animal Behaviour","0003-3472","1095-8282","""First published in 1953, Animal Behaviour is a leading international publication and has wide appeal, containing critical reviews, original papers, and research articles on all aspects of animal behaviour. Book Reviews and Books Received sections are also included.""","Elsevier","","https://www.elsevier.com/journals/animal-behaviour/0003-3472/guide-for-authors",1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.'",0,"No mention.",0,"""Animal Behaviour supports (but does not expect) preregistration in an archived registry
such as the Open Science Framework.""",0,"""Animal Behaviour supports (but does not expect) preregistration in an archived registry
such as the Open Science Framework.""",0,"No mention.",0,"No mention",0,"No mention.",1
